Date,Close,High,Low,Open,Volume
2018-01-02,40.34189224243164,40.35126191884801,39.63931659755379,39.850091435107856,102223600
2018-01-03,40.33486557006836,40.87819243452449,40.27163633682215,40.40512384715967,118071600
2018-01-04,40.522212982177734,40.62525796148265,40.29973145330602,40.407457696409296,89738400
2018-01-05,40.98357009887695,41.07021993214265,40.52689674675764,40.618231417181505,94640000
2018-01-08,40.831356048583984,41.126436533395285,40.73299231349569,40.831356048583984,82271200
2018-01-09,40.82667541503906,40.99763450589874,40.61121929026737,40.878197920254564,86336000
2018-01-10,40.81728744506836,40.819631650108875,40.51518159395476,40.55265313977013,95839600
2018-01-11,41.04914855957031,41.09833042205364,40.86413856419507,40.88755560589044,74670800
2018-01-12,41.473026275634766,41.536259064148354,41.13578950154014,41.25991087346616,101672400
2018-01-16,41.262264251708984,42.01167748658843,41.25055394405002,41.66273032986267,118263600
2018-01-17,41.943763732910156,41.97889108266515,40.99997081899453,41.252894884198874,137547200
2018-01-18,41.98122787475586,42.1779517358419,41.74469540324496,42.00698912004785,124773600
2018-01-19,41.79387664794922,42.056170360899095,41.547974505316795,41.829003993975064,129700400
2018-01-22,41.451961517333984,41.63463089237908,41.358286197536025,41.52221979392465,108434400
2018-01-23,41.46133041381836,42.023393090934235,41.40981148589692,41.522222591926244,130756400
2018-01-24,40.80089569091797,41.52220686389577,40.56201905428973,41.51049655919652,204420400
2018-01-25,40.07257080078125,40.9718667190559,39.93673908810159,40.86882172505862,166116000
2018-01-26,40.16624069213867,40.28099597876492,39.82666324306097,40.28099597876492,156572000
2018-01-29,39.33486557006836,39.850086936789836,39.126434961888506,39.850086936789836,202561600
2018-01-30,39.1030158996582,39.19669121606022,38.571399366691885,38.76577904303612,184192800
2018-01-31,39.21074676513672,39.44728286310411,38.99295002083354,39.07959987736474,129915600
2018-02-01,39.29271697998047,39.489437319765265,39.053840239679026,39.14985977700904,188923200
2018-02-02,37.58779525756836,39.063204758076324,37.49411993865664,38.87585054676852,346375200
2018-02-05,36.64870071411133,38.37937913702519,36.533945368486236,37.25994186610043,290954000
2018-02-06,38.180301666259766,38.34189463418348,36.06554928926782,36.2599289772424,272975200
2018-02-07,37.36296463012695,38.26694527664845,37.25289775278819,38.19434637791094,206434400
2018-02-08,36.33485412597656,37.704877501866164,36.30675225520403,37.538599761668245,217562000
2018-02-09,36.779293060302734,37.12730914186198,35.32843847604352,36.93449073015276,282690400
2018-02-12,38.260719299316406,38.53819066973254,37.037953647563256,37.270750161088955,243278000
2018-02-13,38.64400863647461,38.74041964665234,38.01146342597023,38.0820081550772,130196800
2018-02-14,39.35649871826172,39.39647322333067,38.300692420481404,38.33831316239398,162579600
2018-02-15,40.67802429199219,40.701536806482075,39.73978777414594,39.925552067246045,204588800
2018-02-16,40.54633331298828,41.108337225733806,40.3911392578911,40.529874914016396,160704400
2018-02-20,40.40995407104492,40.976654782310895,40.308839143672124,40.45698268440411,135722000
2018-02-21,40.22654724121094,40.94374179774385,40.21243542540355,40.6404041368813,149886400
2018-02-22,40.56279754638672,40.90375947481818,40.377033269700284,40.39819560728738,123967600
2018-02-23,41.26823806762695,41.30350863075407,40.80734904379779,40.8379192572101,135249600
2018-02-26,42.08419418334961,42.18295534096255,41.4351907527276,41.46811113859858,152648800
2018-02-27,41.94782638549805,42.43928220604922,41.893743640494264,42.114782147972065,155712400
2018-02-28,41.88432693481445,42.472193655045075,41.86786853243593,42.15239401571747,151128400
2018-03-01,41.150665283203125,42.27466602503721,40.60042296283479,41.9830828764742,195208000
2018-03-02,41.43518829345703,41.45635062853528,40.55103468873642,40.633337442555494,153816000
2018-03-05,41.57863998413086,41.79497451115357,41.03780187254719,41.20005366482767,113605600
2018-03-06,41.543357849121094,41.91488998332649,41.41638023801315,41.83494098418248,95154000
2018-03-07,41.157711029052734,41.350532972304066,40.97900089642305,41.13654869519906,126814000
2018-03-08,41.60685348510742,41.64917816458234,41.16713034853489,41.26353775891226,95096400
2018-03-09,42.32170486450195,42.3264088034686,41.71267573229615,41.846711082439775,128740800
2018-03-12,42.73085021972656,42.88839804722147,42.37578006415326,42.39458863897228,128828400
2018-03-13,42.31935501098633,43.1494226362358,42.147698911966,42.935438262301844,126774000
2018-03-14,41.95957565307617,42.44868119552501,41.811432091203834,42.401652575454754,117473600
2018-03-15,42.00895309448242,42.382839043917734,41.87257117709006,41.97368252757985,90975200
2018-03-16,41.86082458496094,42.11948385184696,41.76676373404863,42.00896459455912,157618800
2018-03-19,41.22121047973633,41.73147830463949,40.835570098387464,41.696207740634804,133787200
2018-03-20,41.207115173339844,41.57394350620936,41.13657043516007,41.207115173339844,78597600
2018-03-21,40.27357482910156,41.171833324202176,40.271221065833835,41.16007527202482,148219600
2018-03-22,39.70451736450195,40.60512596898789,39.64573069596585,39.974934604546604,165963200
2018-03-23,38.78509521484375,39.95612471407473,38.78509521484375,39.596350569202244,164115200
2018-03-26,40.62630844116211,40.703907305797394,39.13782895709614,39.52111934021906,150164800
2018-03-27,39.584598541259766,41.18594715292786,39.25069062472281,40.84028118261443,163690400
2018-03-28,39.14723205566406,39.97965360506086,38.843894310478525,39.328296067626276,166674000
2018-03-29,39.452911376953125,40.386444023671224,39.24598114149307,39.45996549061165,153594000
